id,Brand
1,Chrysler
2,Ford
3,Chevrolet
4,Chevrolet
5,Dodge
6,Ford
7,Buick
8,Mitsubishi
9,Ford
10,Pontiac
11,Chevrolet
12,Chevrolet
13,Mercedes-Benz
14,Audi
15,Aston Martin
16,Isuzu
17,Mercedes-Benz
18,GMC
19,Kia
20,Chevrolet
21,Holden
22,GMC
23,Toyota
24,Chevrolet
25,Dodge
26,Nissan
27,Mazda
28,Cadillac
29,Honda
30,Jeep
31,Acura
32,Jaguar
33,Mitsubishi
34,Porsche
35,Chrysler
36,Rolls-Royce
37,Volkswagen
38,Suzuki
39,Pontiac
40,Honda
41,Chevrolet
42,Ford
43,Lexus
44,Mercury
45,Chevrolet
46,Hyundai
47,Lexus
48,Mitsubishi
49,Pontiac
50,Chevrolet
